GEOID,hh_income,house_value
36047053900,23011,1026800
36047054200,45549,889600
36047054300,,
36047054400,67011,710500
36047054500,23456,439700
36047054600,57017,793700
36047054700,72130,925400
36047054800,82788,943600
36047054900,122717,1085100
36047055000,67391,973600
36047055100,109662,1150300
36047055200,81250,679600
36047055300,117750,996000
36047055400,51667,584000
36047055500,174028,1427300
36047055600,60458,686300
36047055700,107410,1696400
36047055800,67500,956200
36047056000,,786100
36047056100,126159,1185600
36047056200,115867,974100
36047056301,121250,961700
36047056302,63627,
36047056400,78409,632200
36047056500,110673,2000001
36047056600,88472,816800
36047056800,82955,689900
36047056900,148333,1677100
36047057000,69987,183300
36047057100,104761,
36047057200,25498,
36047057300,93036,1512800
36047057400,87893,687200
36047057500,107365,1107600
36047057600,84500,834000
36047057800,60823,772200
36047057901,121031,791700
36047057902,,
36047058000,43375,817500
36047058200,66000,846200
36047058400,67315,656000
36047058600,74347,855900
36047058800,78375,737700
36047058901,95357,1517900
36047058902,,
36047059000,80147,788000
36047059100,123872,1020200
36047059200,71167,692000
36047059300,95595,1195600
36047059402,80167,792700
36047059403,84389,934200
36047059404,56771,940600
36047059600,50000,
36047059800,76312,
36047060000,87365,530900
36047060600,71994,337500
36047060800,86607,538100
36047061002,82515,754800
36047061003,51597,670800
36047061004,33685,544100
36047061200,135500,1215700
36047061600,126375,1025000
36047062000,94348,1237600
36047062200,82422,530600
36047062600,73472,369100
36047062800,99710,573700
36047063200,81196,359400
36047063600,128636,661100
36047063800,97981,697500
36047064000,127917,759500
36047064200,57466,1000000
36047064400,82500,750500
36047064600,84833,740200
36047064800,108846,718200
36047065000,74159,575200
36047065200,98103,743300
36047065400,110500,667000
36047065600,104653,604400
36047065800,84427,682700
36047066000,133571,700500
36047066200,83446,654500
36047066600,,
36047067000,82629,573400
36047067200,73807,679900
36047067400,135139,609100
36047067600,89265,529600
36047067800,89844,582600
36047068000,105272,580000
36047068200,94957,598400
36047068600,72500,549100
36047068800,80481,594400
36047069000,117292,587500
36047069200,109167,596500
36047069601,86023,685800
36047069602,84619,705800
36047069800,122019,667100
36047070000,84034,668500
36047070201,113707,903900
36047070202,,
36047070203,,
36047070601,128385,801600
36047070602,,
36047072000,66285,621300
36047072200,60048,599300
36047072400,76458,595800
36047072600,89814,593100
36047072800,70096,430700
36047073000,117857,624300
36047073200,61572,552200
36047073400,95515,543900
36047073600,61292,574600
36047073800,51719,645900
36047074000,66250,705700
36047074200,68931,678300
36047074400,143565,802900
36047074600,91000,804200
36047074800,73000,932400
36047075000,87134,829000
36047075200,160536,1479200
36047075400,101581,1229400
36047075600,79583,831700
36047075800,69375,789300
36047076000,46949,611700
36047076200,55500,1413300
36047076400,72889,1328900
36047076600,76250,1043800
36047076800,58663,762700
36047077000,88482,641300
36047077200,83555,1046300
36047077400,82562,924800
36047077600,78561,417200
36047078000,92391,556600
36047078200,62470,693200
36047078400,108500,702100
36047078601,63891,779500
36047078602,54030,387300
36047078801,51838,659600
36047078802,56635,
36047079001,97576,595000
36047079002,58851,666700
36047079201,75417,664800
36047079202,65192,623500
36047079400,50714,750000
36047079601,81056,535700
36047079602,68513,663700
36047079801,71583,706400
36047079802,84426,890600
36047080000,69543,1707400
36047080200,89289,482900
36047080400,52500,895000
36047080600,62135,855800
36047080800,11988,
36047081000,63362,438400
36047081400,69938,584400
36047081600,56555,640800
36047081800,80000,389400
36047082000,48475,
36047082200,66323,1044900
36047082400,51419,478700
36047082600,65866,599600
36047082800,70189,772000
36047083000,57348,727300
36047083200,75625,492500
36047083400,78906,456500
36047083600,85449,580900
36047083800,85060,541300
36047084000,69948,597300
36047084600,53281,542500
36047084800,88438,531000
36047085000,89531,513600
36047085200,,
36047085400,62361,566200
36047085600,71141,507700
36047085800,65865,484400
36047086000,66531,517800
36047086200,49861,587100
36047086400,70750,558700
36047086600,67995,529500
36047086800,42171,581100
36047087000,54432,474100
36047087200,61538,538100
36047087401,39814,461300
36047087600,41129,524400
36047087800,56875,641100
36047088001,45375,
36047088002,87448,433000
36047088200,48200,614300
36047088400,38703,664500
36047088600,42344,408300
36047088800,44754,600400
36047089000,55550,468200
36047089200,26807,
36047089400,55352,463900
36047089600,21553,475800
36047089800,56054,522200
36047090000,38088,452300
36047090200,37557,371600
36047090600,19049,
36047090800,15050,
36047091000,14446,
36047091200,14692,
36047091600,18043,439100
36047091800,30781,352800
36047092000,32711,396200
36047092200,34867,363200
36047092400,31020,
36047092800,69149,526700
36047093000,82566,603800
36047093200,34271,589300
36047093400,79595,547000
36047093600,68638,586500
36047093800,83153,527200
36047094401,75000,587000
36047094402,30916,
36047094600,84595,556400
36047095000,83846,643700
36047095400,96597,656600
36047095600,78547,645300
36047095800,69120,510600
36047096000,,
36047096200,67344,581400
36047096400,67763,545900
36047096600,66968,596700
36047096800,91080,538600
36047097000,77895,717800
36047097400,76767,504300
36047098200,22309,
36047098400,97386,611300
36047098600,81369,631300
36047098800,83628,552800
36047099000,77721,629100
36047099200,81542,619300
36047099400,100266,582900
36047099600,65260,734900
36047099800,80938,665400
36047100400,76207,610300
36047100600,96597,588900
36047100800,84348,556000
36047101000,59070,606900
36047101200,85556,564400
36047101400,86923,557100
36047101600,106944,663900
36047101800,86188,558800
36047102000,111767,574000
36047102200,72273,557800
36047102400,74643,620700
36047102600,100417,652400
36047102801,86300,599200
36047102802,,
36047103401,17871,
36047103402,,
36047105801,19826,
36047105804,39446,512500
36047107001,53073,473700
36047107002,,
36047107003,,
36047107800,73847,420900
36047109800,52886,538900
36047110400,41949,479200
36047110600,28000,
36047111000,28365,
36047111600,72472,473400
36047111800,75299,539700
36047112000,54706,536400
36047112200,22734,642800
36047112400,44875,472700
36047112600,49311,614600
36047112800,40063,644200
36047113000,47700,460400
36047113200,50149,388000
36047113400,27059,565800
36047114201,,447900
36047114202,58576,574400
36047114400,72711,572800
36047114600,35464,625000
36047115000,63106,585400
36047115200,48894,575700
36047115600,25842,576100
36047115800,57617,489200
36047116000,41724,472000
36047116200,54097,503900
36047116400,60137,441500
36047116600,51477,625000
36047116800,61121,603300
36047117000,,650300
36047117201,56906,572400
36047117202,67929,604300
36047117400,,470200
36047117601,54167,586000
36047117602,53444,411000
36047117800,49423,634100
36047118000,,
36047118201,72098,542400
36047118202,60438,748400
36047118400,66408,622100
36047118600,75583,508900
36047118800,59112,516500
36047119000,48375,563500
36047119200,85071,493200
36047119400,55788,490200
36047119600,43916,491500
36047119800,38854,567800
36047120000,34522,456800
36047120200,80170,467600
36047120801,69235,569000
36047120802,30707,
36047120803,29331,608100
36047121000,14494,
36047121400,20600,
36047122000,48036,585700
36047123700,45333,821800
36047150200,112228,1130100
36047152200,205227,972200
36047990100,,
36061000100,,
36061000201,32286,
36061000202,31806,667500
36061000500,,
36061000600,19692,776000
36061000700,193276,1223100
36061000800,28269,500000
36061000900,208438,1558300
36061001001,101893,779500
36061001002,22183,
36061001200,83669,734100
36061001300,193065,894100
36061001401,95515,839300
36061001402,33793,
36061001501,109832,767300
36061001502,197993,1169500
36061001600,41583,668200
36061001800,71567,748100
36061002000,25833,
36061002100,250001,2000001
36061002201,26021,
36061002202,114676,597800
36061002400,14533,
36061002500,21381,
36061002601,32727,642600
36061002602,68537,509500
36061002700,107031,694400
36061002800,52448,867500
