School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of,data_year
P.S. 81 - BRONX,X,10,WINDOW/ROOFS/EXT MASONRY/FLOOD,3147559,CIP,X081,5550 RIVERDALE AVENUE,Bronx,10471,BRONX    ,40.903553,-73.905229,8,11,337,2084806,2058501550,North Riverdale-Fieldston-Riverdale                                        ,"(40.903553, -73.905229)",11/13/17,2017
I.S. 14 - BROOKLYN,K,22,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,8219000,CIP,K014,2424 BATCHELDER STREET,Brooklyn,11235,BROOKLYN ,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"(40.593521, -73.937672)",11/13/17,2017
PRE-K CENTER @ 1355 84TH STREET - BROOKLYN,K,20,Lease,0,CAP,K762,1355 84TH STREET,Brooklyn,11228,BROOKLYN ,40.614466,-74.011425,10,43,150,3335077,3063090048,Dyker Heights                                                              ,"(40.614466, -74.011425)",,1900
FOOD AND FINANCE HS - MANHATTA,M,2,FY11 RESO A ROOFS,1994000,CIP,M535,525 WEST 50 STREET,Manhattan,10019,MANHATTAN,40.765184,-73.992953,4,3,135,1083802,1010790029,Clinton                                                                    ,"(40.765184, -73.992953)",,1900
P.S. 128 ADDITION - QUEENS,Q,24,Addition,31821000,CAP,Q247,69-10 65TH DRIVE,Queens,11379,QUEENS   ,40.715344,-73.886215,5,30,659,4070445,4030270037,Middle Village                                                             ,"(40.715344, -73.886215)",11/13/17,2017
P.S. 15 - BROOKLYN,K,15,SANDY - INSTALL TEMPORARY BOILERS,550000,CIP,K015,71 SULLIVAN STREET,Brooklyn,11231,BROOKLYN ,40.677343,-74.011558,6,38,53,3008585,3005660001,Carroll Gardens-Columbia Street-Red Hook                                   ,"(40.677343, -74.011558)",,1900
P.S. 32 ADDITION - BROOKLYN,K,15,Addition,74426000,CAP,K032,317 HOYT STREET,Brooklyn,11231,BROOKLYN ,40.680445,-73.991949,6,39,75,3395587,3004370001,Carroll Gardens-Columbia Street-Red Hook                                   ,"(40.680445, -73.991949)",11/13/17,2017
P.S. 145 - MANHATTAN,M,3,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,3073000,CIP,M145,150 WEST 105 STREET,Manhattan,10025,MANHATTAN,40.799178,-73.964842,7,7,189,1076625,1018590001,Upper West Side                                                            ,"(40.799178, -73.964842)",,1900
I.S. 53 - QUEENS,Q,27,CONCRETE/FLOOD/PARAPETS/ ROOFS/WINDOWS/C OF O,17300000,CIP,Q053,10-45 NAMEOKE STREET,Queens,11691,QUEENS   ,40.603622,-73.749097,14,31,103202,4298234,4155570025,Far Rockaway-Bayswater                                                     ,"(40.603622, -73.749097)",11/13/17,2017
I.S. 266 - BROOKLYN,K,13,MASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC,33792000,CIP,K902,62 PARK PLACE,Brooklyn,11217,BROOKLYN ,40.678983,-73.976497,6,39,12902,3259250,3009410050,Park Slope-Gowanus                                                         ,"(40.678983, -73.976497)",,1900
